group_name,group_url,group_members,group_day_post
"Louis Vuitton bags, shoes, jewelry",https://www.facebook.com/groups/2795070403960475/,2.7 万位成员,10 篇以上
"Burberry bags, shoes, jewelry",https://www.facebook.com/groups/1462441000867851/,1.9 万位成员,10 篇以上
Ladies bags💁💁,https://www.facebook.com/groups/269141048818343/,6.4 万位成员,10 篇以上
Luxury heaven bags,https://www.facebook.com/groups/3171908189693286/,5.4 万位成员,10 篇以上
Preloved Japan/Korean Bags,https://www.facebook.com/groups/517149728952617/,3.5 万位成员,10 篇以上
Ukay Ukay bags,https://www.facebook.com/groups/887544022002539/,21 万位成员,10 篇以上
"Shoes, bags, glasses, belts, jewelry, LV, USA, France, Peru, Italy",https://www.facebook.com/groups/1051427972908620/,1.6 万位成员,10 篇以上
Get The Bag- Picks & Parlays 🔒📈,https://www.facebook.com/groups/609224956309793/,4.5 万位成员,10 篇以上
Bags and Accessories,https://www.facebook.com/groups/385853603768951/,4 万位成员,10 篇以上
"T.soft bags, slippers & shoes",https://www.facebook.com/groups/401377858519549/,3 万位成员,10 篇以上
Bags collection,https://www.facebook.com/groups/643072653749115/,3.7 万位成员,10 篇以上
School bags,https://www.facebook.com/groups/126930779273589/,10 万位成员,10 篇以上
Bag,https://www.facebook.com/groups/Crochet.Bag/,3.7 万位成员,10 篇以上
Crochet Bags,https://www.facebook.com/groups/880172916693014/,8.6 万位成员,10 篇
The Bag Makers Enthusiast Creation.,https://www.facebook.com/groups/779327239451883/,7.2 万位成员,10 篇以上
Fashion Women Bags,https://www.facebook.com/groups/1792248184320318/,2.3 万位成员,10 篇以上
Ukay Bags,https://www.facebook.com/groups/1480442485700635/,2.2 万位成员,10 篇以上
Direct Supplier Bags / Bodega Price Item Luxury Bags,https://www.facebook.com/groups/1109840322830812/,4.1 万位成员,10 篇以上
"bodega ng pakyawan divisoria,baclaran...bags,shoes, samut saring items....",https://www.facebook.com/groups/268272035289205/,3.7 万位成员,10 篇以上
Authentic Preloved Luxury Bags & Accessories,https://www.facebook.com/groups/409026840816031/,2.1 万位成员,10 篇以上
Ladies bags,https://www.facebook.com/groups/334029481591369/,25 万位成员,10 篇以上
used clothes Brand shoes Boutique bags,https://www.facebook.com/groups/494378235418119/,1.6 万位成员,10 篇以上
"Ladies fashion wears👙👗👚,bags👛👝👜 and shoe👠👟🥿👡👢",https://www.facebook.com/groups/1199934450438080/,9.8 万位成员,10 篇以上
全新/二手名牌包/名表买卖平台 THE LUXURY Branded Bags & Watches Listing Platform,https://www.facebook.com/groups/513951766249128/,5.1 万位成员,10 篇
"Leather Goods! Belt, Bag, Shoes, Wallet & Other Leather!",https://www.facebook.com/groups/885346552609044/,2.2 万位成员,10 篇
买卖正品名牌包包🛍 Buy & Sell  Branded Bag,https://www.facebook.com/groups/1657231434624039/,1.9 万位成员,10 篇
"Thrift up Pakistan (Preloved dresses,household,jewellery,shoes & bags)💫",https://www.facebook.com/groups/691830521499228/,11 万位成员,10 篇以上
BALENCIAGA Thailand,https://www.facebook.com/groups/294584234282676/,6.9 万位成员,单日发帖：10 篇
Balenciaga Market Thailand,https://www.facebook.com/groups/1525843620839284/,16 万位成员,单日发帖：10 篇以上
ซื้อ-ขาย BURBERRY BALENCIAGA VERSACE PRADA Gucci แบรนด์ยุโรป Thailand,https://www.facebook.com/groups/2000186283494331/,2 万位成员,单日发帖：10 篇以上
NGHIỆN BURBERRY CHÍNH HÃNG (LUXURY AUTHENTIC BRAND),https://www.facebook.com/groups/dohieuchinhhang.kaizon/,10 万位成员,单日发帖：10 篇以上
BURBERRY MARKET THAILAND No.7 แหละแบรด์นแท้ยุโรป อื่นๆ,https://www.facebook.com/groups/4867225706726337/,2 万位成员,单日发帖：10 篇以上
Céline Dion fan,https://www.facebook.com/groups/1723420741296068/,2.7万位成员,10+ posts a day
Celine Dion Oficial Fan's Club,https://www.facebook.com/groups/1347486556168924/,2.5万位成员,10+ posts a day
"GUCCI fashion, clothing and accessories marketplace Sell-Buy",https://www.facebook.com/groups/339017160687997/,1.6万位成员,10+ posts a day
THANH LÝ GUCCI - LV AUTHENTIC🟩🟥🟩,https://www.facebook.com/groups/325002360534403/,5.3万位成员,10+ posts a day
"THANH LÝ ĐỒ HIỆU, TÚI HIỆU ( LUXURY AUTHENTIC) / Louis Vuitton, Dior, Gucci",https://www.facebook.com/groups/645343479990462/,4.4万位成员,10+ posts a day
Gucci Market Thailand,https://www.facebook.com/groups/363034897672319/,6.5万位成员,10+ posts a day
Vide dressing constantine (zara h&m Gucci pull and Bear ),https://www.facebook.com/groups/2296565090494092/,1.7万位成员,10 posts a day
"Túi Hiệu Gucci, Chanel, Ysl, Dior, Lv, Super, Siêu Cấp",https://www.facebook.com/groups/477746362902987/,3.4万位成员,10+ posts a day
Nghiện Gucci - LV 🟩🟥🟩 (Authentic),https://www.facebook.com/groups/nghien.do.hieu.authentic/,5.6万位成员,10+ posts a day
"Compra Y venta de gorras A|x ,coach, gucci,Huggo boss, nike, jordán, Adidas",https://www.facebook.com/groups/706829061327549/,1.5万位成员,10+ posts a day
HERMES Market Thailand,https://www.facebook.com/groups/311465082815637/,2.2万位成员,10+ posts a day
Louis vuitton buy and sell Philippines,https://www.facebook.com/groups/202122644798969/,5.1万位成员,10+ posts a day
Louis vuitton Market Thailand,https://www.facebook.com/groups/694218277435897/,7.4万位成员,10+ posts a day
"Louis Vuitton Philippines 🇵🇭 magpost, mag-usap at magkasundo",https://www.facebook.com/groups/393789761358841/,7.5万位成员,10+ posts a day
Prada market Thailand,https://www.facebook.com/groups/270769073843506/,3.5万位成员,10+ posts a day
